entidade,chave,erro,timestamp_execucao
comentarios,@adrenaline:vUaJ0WmZoCE,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@adrenaline:Em1-9mjr4Hk,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@adrenaline:rvN2qlFhlHQ,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@adrenaline:PAe1Ow544gk,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@adrenaline:jALna61AqXE,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@adrenaline:9ubKidmSIDc,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@adrenaline:O64k9dJ1MxM,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@adrenaline:yxj1Es_6zrM,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@gesieltaveira:3cn9e1v3Jvg,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
comentarios,@gesieltaveira:_UCBTQRflLQ,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-26T12:06:27
